,0,1,2,3,4,5,6
0,"{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}"
1,"{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}"
2,"{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}"
3,"{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'subject': 'СПО', 'auditory': '423-4 к.', 'lessonType': 'ЛК', 'lessonTime': '14:00-15:20', 'subjectFullName': 'Системное программное обеспечение', 'weekday': 'Четверг'}","{'subject': 'БиБД', 'auditory': '423-4 к.', 'lessonType': 'ЛК', 'lessonTime': '14:00-15:20', 'subjectFullName': 'Базы и банки данных', 'weekday': 'Пятница'}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}"
4,"{'subject': 'ВМиКА', 'auditory': '423-4 к.', 'lessonType': 'ЛК', 'lessonTime': '15:50-17:10', 'subjectFullName': 'Вычислительные методы и компьютерная алгебра', 'weekday': 'Понедельник'}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'subject': 'ВМиКА', 'auditory': '209-5 к.', 'lessonType': 'ЛР', 'lessonTime': '15:50-17:10', 'subjectFullName': 'Вычислительные методы и компьютерная алгебра', 'weekday': 'Четверг'}","{'subject': 'ММИПиУ', 'auditory': '423-4 к.', 'lessonType': 'ПЗ', 'lessonTime': '15:50-17:10', 'subjectFullName': 'Математические модели информационных процессов и управления', 'weekday': 'Пятница'}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}"
5,"{'subject': 'АиПРП', 'auditory': '423-4 к.', 'lessonType': 'ЛК', 'lessonTime': '17:25-18:45', 'subjectFullName': 'Администрирование и программирование распределенных приложений', 'weekday': 'Понедельник'}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}"
6,"{'subject': 'АиПРП', 'auditory': '423-4 к.', 'lessonType': 'ЛР', 'lessonTime': '19:00-20:20', 'subjectFullName': 'Администрирование и программирование распределенных приложений', 'weekday': 'Понедельник'}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}"
7,"{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}","{'name': '', 'room': '', 'class_type': '', 'time': '', 'tip': ''}"
